"dataset_type","plot_type","base_file","version","target_orig","target_plotIndex","display_order","svg_file"
"Turk5","boxplot","turk5_1_135_90_12_11","Highlight",11,17,"7,4,1,10,16,6,15,2,18,14,8,19,12,3,9,20,11,5,17,13","T5_boxplot_turk5_1_135_90_12_11_Highlight.svg"
"Turk5","boxplot","turk5_1_135_90_12_11","Talk",11,2,"16,11,10,14,8,6,15,18,13,17,4,3,20,2,9,12,7,19,5,1","T5_boxplot_turk5_1_135_90_12_11_Talk.svg"
"Turk5","boxplot","turk5_1_135_90_12_11","Text",11,12,"9,13,8,16,7,2,17,10,12,1,15,11,6,18,19,4,14,3,5,20","T5_boxplot_turk5_1_135_90_12_11_Text.svg"
"Turk5","boxplot","turk5_1_15_10_10_15","Highlight",15,11,"2,16,19,8,10,13,11,5,3,7,15,18,4,12,1,6,9,14,20,17","T5_boxplot_turk5_1_15_10_10_15_Highlight.svg"
"Turk5","boxplot","turk5_1_15_10_10_15","Talk",15,16,"11,7,6,1,14,5,9,2,10,16,20,4,8,3,17,15,13,19,12,18","T5_boxplot_turk5_1_15_10_10_15_Talk.svg"
"Turk5","boxplot","turk5_1_15_10_10_15","Text",15,7,"4,20,11,1,10,8,15,17,19,12,14,5,13,2,16,7,6,18,9,3","T5_boxplot_turk5_1_15_10_10_15_Text.svg"
"Turk5","boxplot","turk5_1_15_10_12_18","Highlight",18,2,"3,18,12,5,13,16,20,17,4,11,1,9,2,15,10,8,6,14,7,19","T5_boxplot_turk5_1_15_10_12_18_Highlight.svg"
"Turk5","boxplot","turk5_1_15_10_12_18","Talk",18,6,"10,15,1,2,3,18,20,6,4,14,12,7,8,9,17,16,19,5,13,11","T5_boxplot_turk5_1_15_10_12_18_Talk.svg"
"Turk5","boxplot","turk5_1_15_10_12_18","Text",18,15,"9,20,5,13,2,17,14,6,7,11,4,10,12,16,18,3,19,8,1,15","T5_boxplot_turk5_1_15_10_12_18_Text.svg"
"Turk5","boxplot","turk5_1_15_15_10_19","Highlight",19,11,"18,15,10,20,11,16,7,17,5,4,19,12,8,9,3,13,2,6,1,14","T5_boxplot_turk5_1_15_15_10_19_Highlight.svg"
"Turk5","boxplot","turk5_1_15_15_10_19","Talk",19,10,"10,3,5,16,14,13,18,11,8,19,1,4,15,12,6,20,7,2,17,9","T5_boxplot_turk5_1_15_15_10_19_Talk.svg"
"Turk5","boxplot","turk5_1_15_15_10_19","Text",19,3,"3,13,19,11,16,1,8,18,15,12,14,7,17,5,4,9,10,20,6,2","T5_boxplot_turk5_1_15_15_10_19_Text.svg"
"Turk5","boxplot","turk5_1_15_15_12_8","Highlight",8,15,"9,5,18,7,10,15,12,13,20,2,11,16,17,1,8,4,19,6,14,3","T5_boxplot_turk5_1_15_15_12_8_Highlight.svg"
"Turk5","boxplot","turk5_1_15_15_12_8","Talk",8,12,"18,2,6,13,17,1,7,9,16,12,5,8,15,11,10,3,20,4,19,14","T5_boxplot_turk5_1_15_15_12_8_Talk.svg"
"Turk5","boxplot","turk5_1_15_15_12_8","Text",8,19,"18,4,19,10,11,12,7,14,16,17,9,2,13,3,20,5,15,1,8,6","T5_boxplot_turk5_1_15_15_12_8_Text.svg"
"Turk5","boxplot","turk5_1_15_5_10_6","Highlight",6,19,"13,12,3,8,15,4,1,20,16,17,10,11,7,2,18,19,14,9,6,5","T5_boxplot_turk5_1_15_5_10_6_Highlight.svg"
"Turk5","boxplot","turk5_1_15_5_10_6","Talk",6,17,"13,9,19,16,3,14,17,15,18,20,5,2,7,4,11,1,6,12,8,10","T5_boxplot_turk5_1_15_5_10_6_Talk.svg"
"Turk5","boxplot","turk5_1_15_5_10_6","Text",6,4,"10,4,12,6,17,11,7,20,13,15,1,16,19,18,2,14,9,5,8,3","T5_boxplot_turk5_1_15_5_10_6_Text.svg"
"Turk5","boxplot","turk5_1_15_5_12_16","Highlight",16,13,"4,15,19,20,2,17,14,13,9,3,10,1,16,7,18,5,12,6,8,11","T5_boxplot_turk5_1_15_5_12_16_Highlight.svg"
"Turk5","boxplot","turk5_1_15_5_12_16","Talk",16,7,"3,18,2,9,5,4,16,20,11,8,1,17,14,15,19,10,12,13,6,7","T5_boxplot_turk5_1_15_5_12_16_Talk.svg"
"Turk5","boxplot","turk5_1_15_5_12_16","Text",16,9,"7,13,9,3,5,14,15,8,16,4,18,12,6,2,10,1,11,17,19,20","T5_boxplot_turk5_1_15_5_12_16_Text.svg"
"Turk5","boxplot","turk5_1_45_15_10_13","Highlight",13,2,"5,13,6,12,20,8,14,11,1,9,7,10,16,18,2,15,17,4,19,3","T5_boxplot_turk5_1_45_15_10_13_Highlight.svg"
"Turk5","boxplot","turk5_1_45_15_10_13","Talk",13,18,"5,19,8,6,3,7,15,9,20,18,12,17,4,14,1,2,11,13,16,10","T5_boxplot_turk5_1_45_15_10_13_Talk.svg"
"Turk5","boxplot","turk5_1_45_15_10_13","Text",13,10,"19,17,10,8,18,6,3,1,11,13,20,2,9,14,7,4,12,5,16,15","T5_boxplot_turk5_1_45_15_10_13_Text.svg"
"Turk5","boxplot","turk5_1_45_15_12_19","Highlight",19,17,"17,2,7,10,12,9,16,4,20,18,11,8,6,3,5,15,19,1,14,13","T5_boxplot_turk5_1_45_15_12_19_Highlight.svg"
"Turk5","boxplot","turk5_1_45_15_12_19","Talk",19,19,"12,11,20,2,9,5,7,4,8,17,16,10,13,1,6,18,14,3,19,15","T5_boxplot_turk5_1_45_15_12_19_Talk.svg"
"Turk5","boxplot","turk5_1_45_15_12_19","Text",19,16,"8,6,18,12,7,2,14,16,13,5,1,15,17,11,10,19,3,20,4,9","T5_boxplot_turk5_1_45_15_12_19_Text.svg"
"Turk5","boxplot","turk5_1_45_30_10_2","Highlight",2,8,"17,3,11,13,20,8,19,2,16,6,9,7,4,1,12,18,5,14,10,15","T5_boxplot_turk5_1_45_30_10_2_Highlight.svg"
"Turk5","boxplot","turk5_1_45_30_10_2","Talk",2,5,"4,15,9,18,2,16,6,1,12,5,13,19,7,14,3,20,11,10,8,17","T5_boxplot_turk5_1_45_30_10_2_Talk.svg"
"Turk5","boxplot","turk5_1_45_30_10_2","Text",2,19,"8,1,9,6,12,17,11,3,4,14,15,19,10,7,16,13,20,18,2,5","T5_boxplot_turk5_1_45_30_10_2_Text.svg"
"Turk5","boxplot","turk5_1_45_30_12_9","Highlight",9,2,"3,9,20,14,15,18,7,11,2,6,10,16,13,19,8,17,1,12,5,4","T5_boxplot_turk5_1_45_30_12_9_Highlight.svg"
"Turk5","boxplot","turk5_1_45_30_12_9","Talk",9,19,"2,8,17,19,14,6,15,5,12,18,13,11,16,20,3,4,1,7,9,10","T5_boxplot_turk5_1_45_30_12_9_Talk.svg"
"Turk5","boxplot","turk5_1_45_30_12_9","Text",9,4,"6,3,20,9,7,13,14,8,19,10,16,18,5,17,11,15,1,4,12,2","T5_boxplot_turk5_1_45_30_12_9_Text.svg"
"Turk5","boxplot","turk5_1_45_45_10_7","Highlight",7,18,"16,17,2,14,12,8,15,18,1,20,3,10,4,13,5,6,9,7,11,19","T5_boxplot_turk5_1_45_45_10_7_Highlight.svg"
"Turk5","boxplot","turk5_1_45_45_10_7","Talk",7,19,"4,14,6,2,3,8,5,20,10,12,11,16,19,18,13,9,17,1,7,15","T5_boxplot_turk5_1_45_45_10_7_Talk.svg"
"Turk5","boxplot","turk5_1_45_45_10_7","Text",7,13,"11,18,5,12,20,14,15,10,4,8,1,19,7,9,17,2,13,3,6,16","T5_boxplot_turk5_1_45_45_10_7_Text.svg"
"Turk5","boxplot","turk5_1_45_45_12_10","Highlight",10,2,"9,10,4,2,8,13,12,18,1,11,19,3,14,20,17,6,7,5,15,16","T5_boxplot_turk5_1_45_45_12_10_Highlight.svg"
"Turk5","boxplot","turk5_1_45_45_12_10","Talk",10,7,"2,13,18,19,15,4,10,5,14,11,6,16,20,17,7,12,1,8,3,9","T5_boxplot_turk5_1_45_45_12_10_Talk.svg"
"Turk5","boxplot","turk5_1_45_45_12_10","Text",10,12,"7,5,8,6,14,3,19,12,20,4,11,10,2,16,13,17,1,18,9,15","T5_boxplot_turk5_1_45_45_12_10_Text.svg"
"Turk5","boxplot","turk5_2_135_135_10_1","Highlight",1,9,"13,17,16,6,9,18,11,2,1,14,7,3,5,19,4,10,20,12,15,8","T5_boxplot_turk5_2_135_135_10_1_Highlight.svg"
"Turk5","boxplot","turk5_2_135_135_10_1","Talk",1,17,"12,3,4,10,18,14,6,19,13,20,2,15,9,8,7,5,1,11,16,17","T5_boxplot_turk5_2_135_135_10_1_Talk.svg"
"Turk5","boxplot","turk5_2_135_135_10_1","Text",1,1,"1,16,8,7,2,3,15,18,10,5,14,13,6,12,4,9,17,19,20,11","T5_boxplot_turk5_2_135_135_10_1_Text.svg"
"Turk5","boxplot","turk5_2_135_135_12_19","Highlight",19,17,"7,5,8,18,12,6,17,10,16,9,3,20,2,4,15,11,19,1,14,13","T5_boxplot_turk5_2_135_135_12_19_Highlight.svg"
"Turk5","boxplot","turk5_2_135_135_12_19","Talk",19,4,"16,3,18,19,15,20,4,12,8,7,5,11,2,6,14,9,13,17,1,10","T5_boxplot_turk5_2_135_135_12_19_Talk.svg"
"Turk5","boxplot","turk5_2_135_135_12_19","Text",19,5,"11,17,1,3,19,10,12,16,14,13,8,7,18,2,15,4,9,5,20,6","T5_boxplot_turk5_2_135_135_12_19_Text.svg"
"Turk5","boxplot","turk5_2_135_45_10_10","Highlight",10,7,"2,17,3,12,1,7,10,13,14,19,9,18,16,4,5,8,6,15,20,11","T5_boxplot_turk5_2_135_45_10_10_Highlight.svg"
"Turk5","boxplot","turk5_2_135_45_10_10","Talk",10,18,"18,11,13,4,16,14,20,9,2,17,7,1,12,19,5,15,3,10,6,8","T5_boxplot_turk5_2_135_45_10_10_Talk.svg"
"Turk5","boxplot","turk5_2_135_45_10_10","Text",10,9,"17,4,12,2,7,14,1,9,10,19,5,18,3,16,8,11,6,15,20,13","T5_boxplot_turk5_2_135_45_10_10_Text.svg"
"Turk5","boxplot","turk5_2_135_45_12_18","Highlight",18,14,"1,4,6,17,14,5,3,15,20,13,8,12,16,18,10,11,7,9,2,19","T5_boxplot_turk5_2_135_45_12_18_Highlight.svg"
"Turk5","boxplot","turk5_2_135_45_12_18","Talk",18,20,"6,12,17,16,9,7,3,10,4,19,15,13,8,5,14,1,11,20,2,18","T5_boxplot_turk5_2_135_45_12_18_Talk.svg"
"Turk5","boxplot","turk5_2_135_45_12_18","Text",18,9,"2,16,17,6,7,15,4,20,18,12,13,8,3,9,19,10,11,1,14,5","T5_boxplot_turk5_2_135_45_12_18_Text.svg"
"Turk5","boxplot","turk5_2_135_90_10_5","Highlight",5,6,"15,9,1,7,17,5,18,19,12,4,6,11,13,10,14,8,16,20,3,2","T5_boxplot_turk5_2_135_90_10_5_Highlight.svg"
"Turk5","boxplot","turk5_2_135_90_10_5","Talk",5,4,"11,17,14,5,10,19,16,1,12,6,7,20,2,4,3,15,8,18,13,9","T5_boxplot_turk5_2_135_90_10_5_Talk.svg"
"Turk5","boxplot","turk5_2_135_90_10_5","Text",5,20,"3,14,10,18,12,6,9,20,19,7,8,4,17,13,2,16,15,1,11,5","T5_boxplot_turk5_2_135_90_10_5_Text.svg"
"Turk5","boxplot","turk5_2_135_90_12_15","Highlight",15,18,"17,19,14,18,2,3,7,5,12,16,20,9,1,8,6,13,4,15,11,10","T5_boxplot_turk5_2_135_90_12_15_Highlight.svg"
"Turk5","boxplot","turk5_2_135_90_12_15","Talk",15,15,"8,16,7,13,14,10,2,19,1,20,4,18,3,5,15,9,11,6,12,17","T5_boxplot_turk5_2_135_90_12_15_Talk.svg"
"Turk5","boxplot","turk5_2_135_90_12_15","Text",15,19,"20,12,8,2,7,6,16,17,14,11,4,13,18,1,19,5,9,10,15,3","T5_boxplot_turk5_2_135_90_12_15_Text.svg"
"Turk5","boxplot","turk5_2_15_10_10_13","Highlight",13,19,"9,15,14,3,5,6,10,7,8,16,20,19,18,4,2,12,1,11,13,17","T5_boxplot_turk5_2_15_10_10_13_Highlight.svg"
"Turk5","boxplot","turk5_2_15_10_10_13","Talk",13,1,"13,10,16,18,17,14,7,8,5,15,3,6,12,9,11,2,1,20,19,4","T5_boxplot_turk5_2_15_10_10_13_Talk.svg"
"Turk5","boxplot","turk5_2_15_10_10_13","Text",13,5,"17,7,16,11,13,19,14,18,5,1,10,4,9,12,6,8,2,15,3,20","T5_boxplot_turk5_2_15_10_10_13_Text.svg"
"Turk5","boxplot","turk5_2_15_10_12_4","Highlight",4,13,"20,14,6,2,9,11,12,18,3,5,7,10,4,17,13,15,1,16,19,8","T5_boxplot_turk5_2_15_10_12_4_Highlight.svg"
"Turk5","boxplot","turk5_2_15_10_12_4","Talk",4,12,"1,9,12,20,17,19,10,14,7,18,16,4,15,5,3,13,8,2,11,6","T5_boxplot_turk5_2_15_10_12_4_Talk.svg"
"Turk5","boxplot","turk5_2_15_10_12_4","Text",4,11,"17,14,10,12,15,19,5,3,18,6,4,1,9,8,20,13,11,2,16,7","T5_boxplot_turk5_2_15_10_12_4_Text.svg"
"Turk5","boxplot","turk5_2_15_15_10_3","Highlight",3,9,"8,10,15,7,2,14,5,16,3,13,12,9,20,4,6,19,18,11,1,17","T5_boxplot_turk5_2_15_15_10_3_Highlight.svg"
"Turk5","boxplot","turk5_2_15_15_10_3","Talk",3,1,"3,12,9,5,20,15,8,14,7,13,4,2,16,6,17,11,18,1,19,10","T5_boxplot_turk5_2_15_15_10_3_Talk.svg"
"Turk5","boxplot","turk5_2_15_15_10_3","Text",3,15,"10,2,11,19,7,14,4,1,17,5,6,9,12,20,3,18,13,8,15,16","T5_boxplot_turk5_2_15_15_10_3_Text.svg"
"Turk5","boxplot","turk5_2_15_15_12_6","Highlight",6,13,"14,19,18,16,20,15,5,10,11,4,9,13,6,17,3,12,7,1,2,8","T5_boxplot_turk5_2_15_15_12_6_Highlight.svg"
"Turk5","boxplot","turk5_2_15_15_12_6","Talk",6,9,"1,10,20,2,16,17,9,8,6,19,14,15,18,7,4,11,13,3,5,12","T5_boxplot_turk5_2_15_15_12_6_Talk.svg"
"Turk5","boxplot","turk5_2_15_15_12_6","Text",6,10,"12,14,4,2,11,17,13,18,10,6,20,9,15,5,7,1,19,8,16,3","T5_boxplot_turk5_2_15_15_12_6_Text.svg"
"Turk5","boxplot","turk5_2_15_5_10_7","Highlight",7,18,"12,3,1,16,4,14,17,10,20,18,2,15,11,5,6,8,9,7,13,19","T5_boxplot_turk5_2_15_5_10_7_Highlight.svg"
"Turk5","boxplot","turk5_2_15_5_10_7","Talk",7,16,"4,9,11,15,16,2,6,10,20,19,18,5,3,8,17,7,14,1,13,12","T5_boxplot_turk5_2_15_5_10_7_Talk.svg"
"Turk5","boxplot","turk5_2_15_5_10_7","Text",7,5,"1,14,15,20,7,17,5,18,6,12,8,4,16,13,2,9,10,3,19,11","T5_boxplot_turk5_2_15_5_10_7_Text.svg"
"Turk5","boxplot","turk5_2_15_5_12_18","Highlight",18,6,"19,5,13,7,15,18,4,11,20,3,8,6,12,10,9,16,14,1,2,17","T5_boxplot_turk5_2_15_5_12_18_Highlight.svg"
"Turk5","boxplot","turk5_2_15_5_12_18","Talk",18,18,"7,14,19,16,11,20,2,3,17,15,10,12,8,4,9,13,1,18,5,6","T5_boxplot_turk5_2_15_5_12_18_Talk.svg"
"Turk5","boxplot","turk5_2_15_5_12_18","Text",18,15,"11,2,19,20,9,10,17,8,14,7,6,3,16,1,18,12,5,13,4,15","T5_boxplot_turk5_2_15_5_12_18_Text.svg"
"Turk5","boxplot","turk5_2_45_15_10_7","Highlight",7,6,"10,3,6,5,18,7,13,16,17,4,12,19,11,1,14,20,2,8,9,15","T5_boxplot_turk5_2_45_15_10_7_Highlight.svg"
"Turk5","boxplot","turk5_2_45_15_10_7","Talk",7,4,"13,10,3,7,14,12,11,2,19,20,15,4,16,18,1,8,5,9,17,6","T5_boxplot_turk5_2_45_15_10_7_Talk.svg"
"Turk5","boxplot","turk5_2_45_15_10_7","Text",7,16,"17,10,9,14,13,2,12,1,19,16,6,5,8,4,3,7,18,20,11,15","T5_boxplot_turk5_2_45_15_10_7_Text.svg"
"Turk5","boxplot","turk5_2_45_15_12_16","Highlight",16,16,"9,8,17,15,1,18,10,3,13,7,4,6,5,2,12,16,11,19,20,14","T5_boxplot_turk5_2_45_15_12_16_Highlight.svg"
"Turk5","boxplot","turk5_2_45_15_12_16","Talk",16,18,"2,13,4,3,20,18,5,14,12,17,6,19,7,8,11,15,1,16,9,10","T5_boxplot_turk5_2_45_15_12_16_Talk.svg"
"Turk5","boxplot","turk5_2_45_15_12_16","Text",16,3,"11,9,16,19,2,7,17,6,20,8,4,15,14,5,18,12,1,13,3,10","T5_boxplot_turk5_2_45_15_12_16_Text.svg"
"Turk5","boxplot","turk5_2_45_30_10_15","Highlight",15,2,"5,15,7,1,20,2,13,19,9,17,6,16,11,4,12,18,14,3,8,10","T5_boxplot_turk5_2_45_30_10_15_Highlight.svg"
"Turk5","boxplot","turk5_2_45_30_10_15","Talk",15,18,"18,2,8,10,20,3,7,12,16,19,14,4,9,1,6,5,17,15,13,11","T5_boxplot_turk5_2_45_30_10_15_Talk.svg"
"Turk5","boxplot","turk5_2_45_30_10_15","Text",15,13,"1,17,7,14,12,20,4,5,8,13,10,11,15,6,2,3,19,16,18,9","T5_boxplot_turk5_2_45_30_10_15_Text.svg"
"Turk5","boxplot","turk5_2_45_30_12_20","Highlight",20,4,"7,17,4,20,18,2,9,8,16,13,6,5,19,1,11,15,12,14,3,10","T5_boxplot_turk5_2_45_30_12_20_Highlight.svg"
"Turk5","boxplot","turk5_2_45_30_12_20","Talk",20,3,"18,1,20,14,5,15,7,17,4,3,12,2,11,19,10,6,8,13,16,9","T5_boxplot_turk5_2_45_30_12_20_Talk.svg"
"Turk5","boxplot","turk5_2_45_30_12_20","Text",20,19,"7,10,1,19,2,16,3,6,13,12,5,18,17,9,11,14,15,4,20,8","T5_boxplot_turk5_2_45_30_12_20_Text.svg"
"Turk5","boxplot","turk5_2_45_45_10_14","Highlight",14,13,"13,19,7,15,18,8,12,4,10,17,2,6,14,11,3,5,9,16,20,1","T5_boxplot_turk5_2_45_45_10_14_Highlight.svg"
"Turk5","boxplot","turk5_2_45_45_10_14","Talk",14,14,"2,1,15,6,11,9,10,4,16,19,20,12,8,14,5,17,3,18,13,7","T5_boxplot_turk5_2_45_45_10_14_Talk.svg"
"Turk5","boxplot","turk5_2_45_45_10_14","Text",14,12,"1,4,12,11,10,7,15,8,17,3,9,14,6,2,20,19,5,16,18,13","T5_boxplot_turk5_2_45_45_10_14_Text.svg"
"Turk5","boxplot","turk5_2_45_45_12_19","Highlight",19,19,"1,13,9,15,18,6,12,16,2,8,10,17,4,14,11,3,7,20,19,5","T5_boxplot_turk5_2_45_45_12_19_Highlight.svg"
"Turk5","boxplot","turk5_2_45_45_12_19","Talk",19,3,"20,5,19,8,17,14,9,13,18,1,16,3,7,10,2,11,6,15,4,12","T5_boxplot_turk5_2_45_45_12_19_Talk.svg"
"Turk5","boxplot","turk5_2_45_45_12_19","Text",19,11,"1,10,7,5,13,11,17,14,4,9,19,8,18,6,15,20,3,12,16,2","T5_boxplot_turk5_2_45_45_12_19_Text.svg"
"Turk5","boxplot","turk5_3_135_135_10_1","Highlight",1,6,"16,18,2,7,17,1,15,6,11,5,3,9,19,4,10,13,8,14,12,20","T5_boxplot_turk5_3_135_135_10_1_Highlight.svg"
"Turk5","boxplot","turk5_3_135_135_10_1","Talk",1,3,"9,10,1,17,6,5,19,18,13,11,2,8,14,16,4,15,7,3,20,12","T5_boxplot_turk5_3_135_135_10_1_Talk.svg"
"Turk5","boxplot","turk5_3_135_135_10_1","Text",1,7,"6,19,18,17,8,9,1,16,13,5,2,12,20,4,11,3,7,10,15,14","T5_boxplot_turk5_3_135_135_10_1_Text.svg"
"Turk5","boxplot","turk5_3_135_135_12_13","Highlight",13,4,"16,19,11,13,17,5,2,18,20,1,14,12,7,15,4,10,8,3,9,6","T5_boxplot_turk5_3_135_135_12_13_Highlight.svg"
"Turk5","boxplot","turk5_3_135_135_12_13","Talk",13,3,"17,8,13,5,4,10,2,20,15,9,7,14,6,3,18,16,11,19,12,1","T5_boxplot_turk5_3_135_135_12_13_Talk.svg"
"Turk5","boxplot","turk5_3_135_135_12_13","Text",13,19,"3,8,9,19,5,10,4,7,20,17,1,6,18,11,12,2,16,14,13,15","T5_boxplot_turk5_3_135_135_12_13_Text.svg"
"Turk5","boxplot","turk5_3_135_45_10_12","Highlight",12,2,"14,12,5,2,20,17,16,10,4,15,18,13,11,19,9,6,8,7,3,1","T5_boxplot_turk5_3_135_45_10_12_Highlight.svg"
"Turk5","boxplot","turk5_3_135_45_10_12","Talk",12,13,"19,13,18,14,16,9,17,3,4,1,5,10,12,15,2,7,8,6,11,20","T5_boxplot_turk5_3_135_45_10_12_Talk.svg"
"Turk5","boxplot","turk5_3_135_45_10_12","Text",12,15,"15,11,16,13,5,14,8,18,20,9,10,4,19,7,12,1,3,17,2,6","T5_boxplot_turk5_3_135_45_10_12_Text.svg"
"Turk5","boxplot","turk5_3_135_45_12_1","Highlight",1,4,"20,4,11,1,16,12,9,18,14,10,19,6,13,7,2,17,3,5,8,15","T5_boxplot_turk5_3_135_45_12_1_Highlight.svg"
"Turk5","boxplot","turk5_3_135_45_12_1","Talk",1,11,"2,14,11,17,9,20,18,7,8,5,1,13,19,15,6,16,3,12,10,4","T5_boxplot_turk5_3_135_45_12_1_Talk.svg"
"Turk5","boxplot","turk5_3_135_45_12_1","Text",1,1,"1,9,2,8,20,14,19,16,15,6,17,3,7,4,12,5,13,18,10,11","T5_boxplot_turk5_3_135_45_12_1_Text.svg"
"Turk5","boxplot","turk5_3_135_90_10_6","Highlight",6,10,"7,12,10,4,3,8,1,20,5,6,14,19,11,16,9,18,15,13,17,2","T5_boxplot_turk5_3_135_90_10_6_Highlight.svg"
"Turk5","boxplot","turk5_3_135_90_10_6","Talk",6,3,"20,10,6,18,15,7,13,11,2,8,16,5,12,17,1,4,3,19,14,9","T5_boxplot_turk5_3_135_90_10_6_Talk.svg"
"Turk5","boxplot","turk5_3_135_90_10_6","Text",6,11,"4,1,5,8,14,9,2,13,18,7,6,20,15,19,10,3,16,11,12,17","T5_boxplot_turk5_3_135_90_10_6_Text.svg"
"Turk5","boxplot","turk5_3_135_90_12_1","Highlight",1,12,"2,4,7,8,9,16,18,6,10,11,17,1,15,19,13,5,3,12,14,20","T5_boxplot_turk5_3_135_90_12_1_Highlight.svg"
"Turk5","boxplot","turk5_3_135_90_12_1","Talk",1,10,"10,9,18,7,2,6,3,20,11,1,12,8,14,15,13,5,17,4,19,16","T5_boxplot_turk5_3_135_90_12_1_Talk.svg"
"Turk5","boxplot","turk5_3_135_90_12_1","Text",1,4,"12,6,3,1,10,4,5,18,7,2,14,16,13,19,17,8,20,9,11,15","T5_boxplot_turk5_3_135_90_12_1_Text.svg"
"Turk5","boxplot","turk5_3_15_10_10_16","Highlight",16,19,"10,14,5,7,12,6,3,1,17,13,18,8,20,11,4,9,2,19,16,15","T5_boxplot_turk5_3_15_10_10_16_Highlight.svg"
"Turk5","boxplot","turk5_3_15_10_10_16","Talk",16,3,"5,19,16,10,6,20,12,1,14,3,15,13,9,2,11,17,18,8,7,4","T5_boxplot_turk5_3_15_10_10_16_Talk.svg"
"Turk5","boxplot","turk5_3_15_10_10_16","Text",16,1,"16,9,5,2,4,17,19,3,6,7,13,15,10,1,12,20,18,8,14,11","T5_boxplot_turk5_3_15_10_10_16_Text.svg"
"Turk5","boxplot","turk5_3_15_10_12_2","Highlight",2,16,"14,17,4,12,9,19,10,3,5,13,18,20,6,16,7,2,15,11,1,8","T5_boxplot_turk5_3_15_10_12_2_Highlight.svg"
"Turk5","boxplot","turk5_3_15_10_12_2","Talk",2,3,"3,20,2,8,11,13,18,9,4,5,14,7,6,19,17,1,12,15,16,10","T5_boxplot_turk5_3_15_10_12_2_Talk.svg"
"Turk5","boxplot","turk5_3_15_10_12_2","Text",2,8,"7,4,13,5,8,17,20,2,10,16,19,3,9,15,6,14,1,11,12,18","T5_boxplot_turk5_3_15_10_12_2_Text.svg"
"Turk5","boxplot","turk5_3_15_15_10_14","Highlight",14,15,"20,7,2,15,4,19,6,9,10,1,11,13,8,18,14,12,5,3,17,16","T5_boxplot_turk5_3_15_15_10_14_Highlight.svg"
